ደረጃ,ርዕስ,ቀን,ዜና,ድረ-ገጽ
1,የደምቢ ዶሎ ከንቲባ በጥይት ተመትተው ቆሰሉ,18 ጁን 2019,"




ወለጋ ውስጥ በምትገኘው የደምቢዶሎ ከተማ ከንቲባ በጥይት ተመትተው መቁሰላቸውን  አንድ የቄለም ወለጋ ዞን አስተዳደር ባለስልጣን ለቢቢሲ ተናገሩ። በተኩሱ ቢቆስሉም ህይወታቸው ተርፏል። የከተማው ከንቲባ አቶ ታደለ ገመቹ በጥይት ተመትተው የቆሰሉት ባለፈው አርብ እንደሆነ እኚሁ ስማቸው እንዳይጠቀስ የፈለጉ ባለስልጣን ተናግረዋል። ባለስልጣኑ እንዳሉት በከንቲባው ላይ ጥቃቱን የፈጸሙት አባ ቶርቤ ተብሎ የሚጠራው ቡድን አባላት ይሆናሉ ተብሎ እንደሚጠረጠር ተናግረዋል። ይህ አባ ቶርቤ ተብሎ የሚታወቀው ቡድን ጫካ ውስጥ ከቀሩት የቀድሞው የኦነግ ታጣቂዎች ጋር ግንኙነት አለው ተብሎ ይታመናል። • የኦነግ ጦር መሪ በትግላችን እንቀጥላለን አለ• ኢትዮጵያዊያን፣ ጃፓናዊትና ህንዳዊ በታጣቂዎች ተገደሉከንቲባው ላይ የተተኮሰባቸው ከቢሯቸው ወጥተው መኪናቸው ውስጥ ሊገቡ ሲሉ ነበር። ""ከንቲባው ከሥራ በሚወጡበት ሰዓት ነበር በር ላይ ጥቃቱን ያደረሱባቸው"" ሲሉ የአካባቢው ባለስልጣን አረጋግጠዋል። ጥቃት ፈጻሚዎቹ ከንቲባውን በሁለት ጥይት እንደመቷቸውና አንደኛው ጥይት እጃቸውን ሌላኛው ደግሞ በጎን በኩል ኩላሊታቸው አካባቢ እንደመታቸውም ለማወቅ ተችሏል።ከንቲባው አቶ ታደለ ቀደም ሲል ከነበሩበት ቦታ ተዘዋውረው አሁን ወዳሉበት ኃላፊነት የመጡት በቅርብ ጊዜ ነው። ለደህንነታቸው ሲባል ስማቸው እንዲጠቀስ ያልፈለጉት እኚህ የአካባቢው ባለስልጣን እንዳሉት አቶ ታደለ ለተጨማሪ ህክምና ወደ አዲስ አበባ ተወስደዋል። • ከተገደሉት አንዱ የማዕድን ኩባንያው ባለቤት ነበርእስከትላንት ድረስ በከንቲባው ላይ ጥቃት አድርሰዋል ከተባሉት ሰዎች መካከል የተያዘ ሰው እንደሌለም ታውቋል። እንዲህ አይነቱ ጥቃት ባለፉት አምስት ወራት ውስጥ በአካባቢው ባለስልጣናት ላይ ሲፈጸም ይህ የአሁኑ ሁለተኛው ነው።ከአንድ ወር በፊት የሰዮ ወረዳ የኦዲፒ ጽህፈት ቤት ሃላፊ አቶ ነጌሶ አቡ ከአዲስ አበባ ወደ ደምቢ ዶሎ በጉዞ ላይ እያሉ ታፍነው ከተወሰዱ በኋላ ጫካ ውስጥ ተገድለው መገኘታቸው ይታወሳል። ቀደም ሲል በተፈጸመው የአቶ ነጌሶ ግድያ በኦነግ ታጣቂዎች የተፈጸመ እንደሆነ የአካባቢው የመንግሥት ባለስልጣናት አረጋግጠዋል።አርብ እለት በከንቲባው ላይ ስለተፈጸመው ጥቃት በአካባቢው ያለው የታጠቀ ቡድን ምን ያለው ነገር የለም።    
",https://www.bbc.com/amharic/news-48673764
2,የኢንትርኔት መቋረጥ፡ የሕግ ባለሙያዎች ኢትዮ-ቴሌኮምን ለመክሰስ አቅደዋል,18 ጁን 2019,"



Image copyright
ELVIS

ሃገር አቀፍ ፈተና በመጣ ቁጥር ከተፈታኞች ቀጥሎ ጭንቀት ውስጥ የሚገባው የበይነ-መረብ [ኢንተርኔት] ተጠቃሚው ነው። ባለፈው ሳምንት፤ ማክሰኞ የሆነው ይህ ነው። ሃገር አማን ብለው ዓለም እንዴት እንዳደረች ለመቃኘት የጎገሉ አንጀት የሚያርስ መረጃ ማግኘት አልቻሉም። ኧረ እንደውም ምንም ዓይነት መረጃ ማግኘት ይቅርና የሞባይልም ሆነ ኮምፒውተር ስክሪናቸው ላይ ብቅ ሊል አልቻለም። ተጠቃሚው የሞባይልና ብሮድባንድ ኢንተርኔት አገልግሎት እንደተቋረጠ የገባው ዘግየት ብሎ ነው። ኢንተርኔት ብትጠበቅ የውሃ ሽታ ሆና ቀረች። ከሰዓት በኋላ አካባቢ ግን ብቅ አለች። ደግሞ በነገታው አንዲሁ. . .ኢትዮ-ቴሌኮም ምን ገጠመህ? ተብሎ ቢጠየቅ እኔ 'ማውቀው ነገር የለም ሆነ ምላሹ። እንደው ክቡር ሚኒስትሩ ያውቁ ይሆን ቢባል 'ኢትዮ-ቴሌኮም እንጂ እኛ ምን አገባን' ነበር ለመገናኛ ብዙሃን የተሰጠው መልስ።• የኢንተርኔቱን ባልቦላ ማን አጠፋው?እርግጥ ሰዎች የኢንተርኔት መቋረጡ ከሃገር አቀፍ ፈተናዎች ጋር የተያያዘ ሊሆን እንደሚችል ገምተዋል [አምና፣ አቻምና የተከሰተውን ልብ ይሏል]፤ ይህ ግን መላ ምት እንጂ የተጨበጠ መረጃ አይደለም።    ሐሙስ ዕለት ከኢንተርኔቱ አልፎ አጭር የፅሑፍ መልዕክት አገልግሎት እንደተቋረጠ ተሰማ። 'ጠቅላይ ሚኒስትር አብይ ወደ ሥልጣን ከመጡ በኋላማ እንዲህ ዓይነት ነገር አይታሰብም?' ያሉ ሁኔታው ግራ አጋባቸው።በጉጉት ስትጠበቅ የነበረችው ኢንተርኔት አርብ ጀምበር ልትጠልቅ ስታኮበኩብ ገደማ ብቅ አለች። አጭር የፅሑፍ መልዕክቱ ግን እንደቀለጠ ቀረ። አሁንም ቢሆንም የኢንተርኔት አገልግሎት ተመልሶ ያልመጣባቸው ሥፍራዎች እንዳሉ ይነገራል።«ኢትዮ-ቴሌኮምን እከሳለሁ»የሕግ ባለሙያው አቶ ዮሐንስ እንየው በሰመራ ዩኒቨርሲቲ የሕግ መምህር እና የዲጂታል መብት አማካሪ ናቸው። ከሰሞኑ በተፈጠረው ጉዳይ ኢትዮ-ቴሌኮም በሕግ ሊጠየቅ ይገባል ከሚሉ ሰዎች መካከል ናቸው። «ኢንተርኔት ጠቅላይ ሚኒስትር አብይ ከመጡ ወዲህ እንኳ አራት ጊዜ ያክል ተቋርጧል። እርግጥ ጉዳዩ እንደ ቅንጦት ነው የሚታየው። በሕግ ባለሙያዎች አንድም አንገብጋቢ ከሚባሉ ጉዳዮች ተርታ አይመደብም። ወደሌሎች የአፍሪካ ሃገራት ስትመጣ ግን መንግሥት መሰል ድርጊቶችን ሲፈጽም ይከሰሳል። ብሩንዲ ብትል፣ ታንዛኒያ ሆነ ኡጋንዳ ብትሄድ ኢንተርኔት ሲቋረጥ ይከሳሉ። እንዲህ ዓይነት ጉዳዮችን በቀላል አይልፏቸውም ሌሎች ሃገራት። እኛ ጋር ግን እንደ ቀልድ ነው የሚታየው፤ ማንም ተጠያቂ አይሆንም።»እርግጥ አቶ ዮሐንስ እና ሌሎች የሕግ ባለሙያዎች ጉዳዩ ውልብ ያለላቸው ከሰሞኑ ነው፤ ሂደቱም ገና ጅማሬ ላይ ነው። ቢሆንም እንደውም ሃሳቡን ማጫር በራሱ አንድ እርምጃ ነው ይላሉ ባለሙያው። «እንደው ውይይቱን ብናስጀምረው ብለን ነው። በቀጣይ መንግሥትም ይሁን ኢትዮ-ቴሌኮም፤ አሁን ደግሞ ሌሎች 'ኔትዎርክ ፕሮቫይደሮች' እየመጡ ስለሆነ [ፕራይቬታይዝ እየተደረገ ስለሆነ] ወደፊት ለሚያጋጥሙ የተለያዩ ክስተቶች አላግባብ በሆነ መልኩ ከሕግ ውጭ መሰል ድርጊት እንዳይጸሙም ነው።»ምን ተብሎ ይከሰሳል?ባለፈው ሳምንት እንደ ፌስቡክና ትዊትር ያሉ ማህበራዊ ድር አምባዎች ጭር ብለው ነው የከረሙት [ዕድሜ ለኢንተርኔት መቋረጡ]። ከሃገር ውጭ ያሉ ኢትዮጵያዊያን ግን ተቃውሟቸውን 'በነፃነት' ሲገልጹ ከርመዋል። ኢትዮ-ቴሌኮም ተከሰሰ እንበል. . .በዋናነት ክሱ የሚሆነው ምንድን ነው? የመረጃ ነፃነት መግፈፍ? ተጠቃሚዎች ለገዙት 'ዳታ' ሳይጠቀሙበት መክሰሩ ነው? ግራ ያጋባል።«እርግጥ ነው ኢንተርኔት መዘጋት ብዙ ችግር ፈጥሯል። ግን እኛ በዋናነት ከምንም በላይ የመናገር ነፃነት፤ ሁለተኛ ደግሞ መረጃ የማግኘት መብት ላይ ነው የምናተኩረው። ምናልባት ሌሎችም ክሱን ፋይል ስናደርግ የሚቀላቀሉን ካሉ ያስከተለውን ኪሳራን ልናካታት እንችላለን። ለምሳሌ አንድ ሪፖርት ኢንተርኔት መቋረጥ ሃገሪቱን 4.5 ሚሊዮን ዶላር በቀን ያሳጣታል ይላል። ይህ ማለት የማህበራዊ እና ምጣኔ ሃብታዊ መብቶችንም ይነካል ማለት ነው።»«የተደራጁ ማህበራት ቢኖሩን. . .» ይላሉ አቶ ዮሐንስ፤ «የተደራጁ ማህበራት ቢኖሩን ክሱ በተነፃፃሪ ቀላል ይሆን ነበር። ለምሳሌ የብሎገሮች [ጦማሪያን] ማህበር ቢኖር በኢንትርኔት መቋረጡ የደረሰባቸውን ተፅዕኖ አስረድቶ ክስ ማቅረብ ይቻላል። ሌሎችም አሁን ስማቸውን መጥቀስ የማያስፈልግ ማህበራት እና የግል ተቋማትም ይመለከታቸዋል።»እርግጥ ነው ቴሌ ቢከሰስ የክሱ ፋይል በርካታ ወረቀቶች እንደሚፈጅ ይታሰባል። ከምጣኔ ሃብት፣ ከማህበራዊ ትስስር፣ እና ከሰብአዊ መብት ጥሰት አንፃር ጉዳዩን ማየት ይቻላልና።• ኢትዮ-ቴሌኮም፡ አንድ ወደፊት ሁለት ወደኋላ?ምናባዊ ክስኢትዮ-ቴሌኮምን የመክሰስ ሂደቱ ገና እንጭጭ ቢሆንም፤ ሃሳቡ ግን መንሸራሸር ጀምሯል። ድርጅቱ ከሰሞኑ ለፈፀመው ድርጊት በፍርድ አደባባይ ሊቆም እንደሚገባ በርካታ የሕግ ሰዎች ይስማማሉ። 'ኢትየ-ቴሌኮም ሊከሰስ እንደሆነ ሰምተው ይሆን?' ብለን የጠይቅናቸው ታዋቂው የሕግ ሰው አቶ አምሃ መኮንን «እርግጥ ጉዳዩ ለእኔ አዲስ ነው ግን ኢትዮ-ቴሌኮም መከሰስ እንዳለበት አምናለሁ» የሚል ምላሽ ነበር የሰጡን። • ኢትዮ ቴሌኮም... ወዴት? ወዴት?እስቲ ክሱ ፋይል ተደረገ እንበል። የፍርድ ቤት ምላሽ ምን ይሆናል ብላችሁ ታስባላችሁ? ለሕግ ባለሙያው አቶ ዮሐንስ ያቀረብነው ጥያቄ።«ፍርድ ቤቱ ሥልጣን የለኝም ሊለን ይችላል። ጥቅም የላችሁም ሊል ይችላል። በፍትሀ-ብሔር ጉዳይ ወይንም በሕዝብ ጥቅም ጉዳይ አንድ ክስ ሲቀርብ ጥቅም ሊኖር ይገባል። ጥቅም የሚባለው የንብረት ወይንም መብት ማስከበር ሊሆን ይችላል። ሆኖም ግን አሁን እኛ የምናቀርበው 'ስትራቴጂክ ሊቲጌሽን' [ሰብዓዊ መብትን ለማስከበር የሚቀርብ ክስ] ስለሆነ የሕዝብ ጥቅም ጉዳይ ነው። ሕገ-መንግሥቱ አንቀፅ 37 ላይ ፍትህ የማግኘት መብት የሚለውን መሠረት አድርገን ነው ክሱን ለማቅረብ የምንሞክረው።» ክሱ ተሳካም አልተሳካ፤ ፍርዱ የሕግ ባለሙያዎቹ የሚሹት ሆነም አልሆነ፤ አንድ ጉዳይ ግን ግልፅ ይመስላል። ሰማይ አይታረስም ንጉሥ አይከሰስ ተደርምሶ፤ ሰማይ ባይታረስ ንጉሥ ግን ይከሰስ ሆናል። ንጉሡ ኢትዮ-ቴሌኮም መሆኑ ነው እንግዲህ። 
",https://www.bbc.com/amharic/news-48672456
3,ግብፅ በቀድሞው ፕሬዚዳንት ሞሀመድ ሞርሲ ሞት ውርጅብኝ እያሰተናገደች ነው,18 ጁን 2019,"



Image copyright
EPA

 የቀድሞው የግብፅ ፕሬዚዳንት ሞሀመድ ሞርሲ በትናንትናው ዕለት ፍርድ ቤት ተዝለፍልፈው ወድቀው ህይወታቸው ማለፉን ተከትሎ የግብፅ ባለስልጣናት ከፍተኛ ትችት እየደረሰባቸው ነው። በአውሮፓውያኑ 2013 ከስልጣን የተወገዱት የ67 አመቱ ሞሀመድ ሞርሲ እስከ እለተ ህልፈታቸው ድረስ በግብፅ ባለስልጣናት ቁጥጥር ስር ነበሩ።የሰብአዊ መብት ተሟጋቹ ድርጅት አምነስቲ አሟሟታቸው በገለልተኛ ቡድን እንዲጣራ የጠየቀ ሲሆን የግብፅ ባለስልጣናት በበኩላቸው በልብ ህመም ነው የሞቱት ብለዋል።• ሞሐመድ ሙርሲ ፍርድ ቤት ውስጥ ሞቱ•አምነስቲ የኢትዮጵያ ሰብአዊ መብት ኮሚሽን ለውጥ እንዲደረግበት ጠየቀ•በኬንያ ከኢቦላ ጋር የሚመሳሰሉ ምልክቶች ያለባት ታማሚ ተገኘች የቀሞው ፕሬዚዳንት ቤተሰቦችና የሰብአዊ መብት ተሟጋቾች በበኩላቸው ለብቻቸው ተገልለው በታሰሩበት ወቅት በአያያዛቸው ምክንያት የጤና ሁኔታቸው አሽቆልቁሎ ነበር በማለትም እየተናገሩ ነው። ሪፖርቶች እንደሚያሳዩት ሞሀመድ ሙርሲ ባለፈው ሳምንት ማክሰኞ ጥዋት ከቤተሰቦቻቸው ጋር አንድ ላይ ታይተዋል ተብሏል። ልጃቸው አብዱላህ ሞሀመድ ሞርሲ ለሮይተርስ እንደተናገረው የአባቱን አስከሬን ወስደው ለህዝብ ክፍት በሆነ የቀብር ስርአትን ማከናወን ቢፈልጉም የግብፅ ባለስልጣናት እንደከለከሏቸው ነው። በሙስሊም ብራዘር ሁድ ውስጥ ከፍተኛ ስፍራ ያላቸው ሞሀመድ ሙርሲ በዲሞክራሲያዊ መንገድ ተመርጠው ያሸነፉ የመጀመሪያው መሪ ናቸው።ከፍተኛ የህዝብ ተቃውሞን ተከትሎ በመፈንቅለ መንግሥት ከስልጣን የተወገዱት የቀድሞው ፕሬዚዳንት ከአመት በኋላም በወታደሩ ቁጥጥር ስር ውለዋል። በወቅቱ የጦሩ መሪ የነበሩት አብዱል ፋታህ አል ሲሲ ከጎርጎሳውያኑ 2014 ጀምሮ በስልጣን ላይ ነበሩ። የፕሬዚዳንቱን ከስልጣን መወገድ ተከትሎ ባለስልጣናቱ በደጋፊዎቻቸው ላይና ሌሎችም ሰላማዊ ዜጎችን ማንገላታትየቀጠሉ ሲሆን ከአስር ሺዎችም በላይ ለእስር ተዳርገዋል። ሙስሊም ብራዘርሁድና የቱርኩ ፕሬዚዳንት ጣይብ ኤርዶጋን ለቀድሞው ፕሬዚዳንት ሞት የግብፅ አመራሮችን ወንጅለዋል። በስለላና ከፓለስታይን እስላማዊ ቡድን ሀማስ ጋር ግንኙነት አላቸው በሚል በትናንትናው ዕለት ፍርድ ቤት ቀርበው ነበር።ባለስልጣናቱ እንደገለፁት የቀድሞው ፕሬዚዳንት ከተከለሉበት ቦታ ሆነው ዳኞቹን ለአምስት ደቂቃ ያህል አዋርተዋል። የፍርድ ሂደቱ እረፍት ላይ እራሳቸውን ስተው ተዝለፍልፈው እንደወቀዱ ተገልጿል። ሆስፒታል አፋፍሰው ቢወስዷቸውም ከጥቂት ደቂቃዎች በኋላ እንደሞቱ የግብፅ አቃቤ ህግ ገልጿል። በአሟሟታቸው ዙሪያ ምርመራዎች የቀጠሉ ሲሆን ሰውነታቸውም ላይ የሚታይ ጉዳት እንደሌለ ተገልጿል። የኃገሪቱ ሚዲያ እንደዘገበው የሞታቸው ምክንያት የልብ ህመም ነው ብሏል። ሞሀመድ ሞርሲ ከዚህ በፊት በነበረው ፍርድ የሞት ፍርድ የተፈረደባቸው ሲሆን በኋላም ውሳኔው ተቀይሯል።  
",https://www.bbc.com/amharic/news-48672687
4,ሞሐመድ ሙርሲ ፍርድ ቤት ውስጥ ሞቱ,17 ጁን 2019,"



Image copyright
Getty Images

የቀድሞው የግብጽ ፕሬዝዳንት ሞሐመድ ሙርሲ ዛሬ ፍርድ ቤት ውስጥ በድንገት ተዝለፍልፈው ከወደቁ በኋላ መሞታቸው እየተዘገበ ነው።ሙርሲ እንደ አውሮፓዊያኑ በ2013 ነበር በመፈንቅለ መንግሥት ሥልጣናቸውን የተነጠቁት።በግብጽ ታሪክ በዲሞክራሲያዊ ምርጫ ይሁንታን ያገኙ የመጀመርያው ርዕሰ ብሔር ነበሩ። ያም ሆኖ አገሪቱን መምራት የቻሉት ለአንድ ዓመት ብቻ ነበር። የሕዝብ ተቃውሞን ተከትሎ በአልሲሲ የተመራ ወታደራዊ ኃይል ሥልጣናቸውን ነጥቋቸዋል።• ግብጽ 40 ታጣቂዎችን ገደለች• አሜሪካ የግብፁ ሙስሊም ብራዘርሁድን በአሸባሪነት ልትፈርጅ ነውሙሐመድ ሙርሲ ለከዚህ ዓለም በሞት የተለዩት በተወለዱ በ67 ዓመታቸው ነው።ሟቹ ሞሐመድ ሙርሲ ማን ነበሩ?ሞሐመድ ሙርሲ የተለወዱት ኢል አድዋህ ሸርቂያ በምትባል አውራጃ እንደ አውሮፓያዊያኑ በ1951 ነበር። በ1970ዎቹ በካይሮ ዩኒቨርስቲ ምህንድስና ካጠኑ በኋላ የፒኤች ዲ ጥናታቸውን ለማድረግ ወደ አሜሪካ አቀኑ።ትምህርታቸውን በአሜሪካ ካጠናቀቁ በኋላ ወደ ግብጽ በመመለስ በዛግዚግ ዩኒቨርስቲ በፕሮፌሰርነት ማገልገል ጀመሩ።የፖለቲካ ሕይወታቸውን የጀመሩት በሙስሊም ብራዘርሁድ የጋይዳንስ ቢሮ ኃላፊ በመሆን ነበር። ፕሬዝዳንት እስኪሆኑ ድረስም የነጻነትና ፍትህ ፓርቲ መሪ ነበሩ።በአውሮፓዊያን ከ2000 እስከ 2005 ድረስ በግል የምክር ቤት ተመራጭ ነበሩ። በምክር ቤት እንደራሴ በሆኑባቸው ጊዜያት መንግሥትን በመተቸት ዝና አትርፈዋል።በአውሮፓዊያን 2012 የሙስሊም ብራዘርሁድ እጩ ፕሬዝዳንት የሆኑት ሚሊየነሩ ካይራት አልሻተር ከፓርቲው ገለል ከተደረጉ በኋላ ነበር።በግብጽ ታሪክ በሕዝብ ዲሞክራሲ የተመረጡ የመጀመርያው መሪ የሆኑት ሞሐመድ ሙርሲ፤ በተመረጡ ማግስት ሁሉን ግብጻዊ ለማገልገል፣ ሕገ መንግሥቱን ለማስጠበቅ ቃል ቢገቡም ተቺዎቻቸው ግን ሥልጣኑን ለፓርቲያቸው ሰዎች አድርገውታል ሲሉ ይተቿቸዋል።• ግብጽ በመካከለኛው ምስራቅ ትልቁን ካቴድራል ከፈተች• 'የሴቶች ቫያግራ' በአፍሪካዊቷ ሃገርሞሐመድ ሙርሲ በሥልጣን መቆየት የቻሉት ለአንድ ዓመት ብቻ ነበር። ሕዝባዊ ተቃውሞን ተከትሎ ሙርሲ ሥልጣን እንዲለቁ ግፊት በረታባቸው። ሆኖም በጄ አላሉም። የተቃውሞውን ያህልም ድጋፍ ነበራቸው።በአውሮፓውያኑ 2013 የያኔው የጦሩ መሪ አብዱል ፈታህ አልሲሲ በአልሲሲ ደጋፊዎችና ተቃዋሚዎች መሀል ያለው ፖለቲካዊ ውጥረት ካልበረደ አገሪቱ ወደከፋ ቀውስ ልታመራ እንደምትችል አሳሰቡ።በዚያው ዓመት ሐምሌ ወር ሙርሲ ነገሮች በ48 ሰዓታት ውስጥ መልክ የማይዙ ከሆነ ሕግና ሥርዓት ለማስፈን ወታደሩ ጣልቃ ሊገባ እንደሚችል ጠቆሙ። በሐምሌ 3 ምሽት አልሲሲ ሕገ መንግሥቱ መታገዱን፣ ግብጽም በቴክኖክራቶች በተዋቀረ ጊዜያዊ ኮሚቴ እንደምትመራ አስታወቁ።ከዚያች ምሽት ወዲህ ሙርሲ ወዳልታወቀ ሥፍራ ተወስደው ታሰሩ።የሙርሲ ደጋፊዎች ዘለግ ያለ ተቃውሞ በማድረጋቸው ወታደሩ በወሰደው እርምጃ ከአንድ ሺ የሚልቁ ዜጎች ተገደሉ። ከሳምንታት ቆይታ በኋላ ሙርሲ  በአገር ክህደት ተከሰሱ።የሙርሲ የበኩር ልጅ አባቱ እስር ቤት የተያዙበት ሁኔታ ለጤናቸው አስጊ እንደሆነ ሲናገር ቆይቷል።ይኸው ልጃቸው አባቱ የደም ግፊትና ስኳር ታማሚ እንደነበሩም አመላክቷል። መሰረታዊ የጤና ክትትልና የመድኃኒት አቅርቦት እንደተነፈጋቸውም ለአሶሺየትድ ፕሬስ ተናግሮ ነበር።ከአምስት ወራት በፊት ይህ ልጃቸው በዋሺንግተን ፖስት ጋዜጣ በጻፈው አስተያየት የግብጽ ባለሥልጣናት አባቱ ሙርሲ በሚፈለገው ፍጥነት እንዲሞቱ እንደሚፈልጉ ተናግሮ ነበር።ሙሐመድ ሙርሲ የአራት ልጆች አባት ነበሩ።
",https://www.bbc.com/amharic/48669408
5,አሜሪካ ወደ መካከለኛው ምስራቅ ተጨማሪ ወታደር ልትልክ ነው,18 ጁን 2019,"



Image copyright
US Department of Defense

አሜሪካ ከኢራን ጋር የገባችው ውጥረት በተካረረበት ማግስት ተጨማሪ 1ሺህ ወታደር ወደ መካከለኛው ምስራቅ ልትልክ መሆኗን አሳውቃለች።  የመከላከያ ተጠባባቂ ጸሐፊ የሆኑት ፓትሪክ ሻናሀን እንዳሉት ተጨማሪ ወታደር ማሰማራት ያስፈለገው የኢራን መንግስት በሚያሳው ""ጠብ አጫሪ ባህሪ"" የተነሳ ነው።የአሜሪካ ባህር ኃይል  የኢራን አብዮታዊ ዘብ በነዳጅ ጫኝ መርከቦች ጥቃት አድርሷል በማለት ተጨማሪ ምስሎችን አውጥቷል።ኢራን ሰኞ እለት እንዳስታወቀችው ከእንግዲህ በኋላ በጎርጎሳውያኑ 2015 የኒውክለር ፕሮግራሟን ለመቀነስ የገባችውን ስምምነት እንድታከብር እንደማትገደድ አስታውቃለች።በአለም አቀፉ ማህበረሰብ የተቀመጠውን የዩራኒየም ውህድ ክምችት ገደብም ከፍ ለማድረግ ወስናለች።• ""ለአውሮፕላኑ መከስከስ ፓይለቶች ተጠያቂ ሊሆኑ አይችሉም"" አቶ ተወልደ ገብረማርያም • ሞሐመድ ሙርሲ ፍርድ ቤት ውስጥ ሞቱ• አምነስቲ የኢትዮጵያ ሰብአዊ መብት ኮሚሽን ለውጥ እንዲደረግበት ጠየቀ የአሜሪካ ጦር ወደ መካከለኛው ምስራቅ እንዲንቀሳቀስ መደረጉ የተገለፀው ሰኞ እለት ከሰአት በኋላ ነበር።ፓትሪክ ሻናሀን በመግለጫቸው ላይ እንዳስቀመጡት ""አሜሪካ ከኢራን ጋር ግጭት ውስጥ መግባት አትፈልግም።"" ነገር ግን እርምጃው የተወሰደው  ""በቀጠናው የተሰማሩ ወታደራዊ ኃይሎችን ደህንነትና የሀገርን ጥቅም ለማስጠበቅ"" ነው ብለዋል።""የቅርብ ጊዜ የኢራን ጥቃት የሚያሳየው በኢራን ኃይሎች የሚፈፀመው ጠብ አጫሪ ባህሪና ቅጥረኛ ቡድኖች አሜሪካን ወታደራዊ ኃይልና በቀጠናው ላይ ያላትን ጥቅም አደጋ ላይ ለመጣል መንቀሳቀሳቸውን ነው"" ብለዋል።አክለውም መከላከያ ኃይሉ ያለውን ሁኔታ እየፈተሸ የወታደሮቹን ቁጥር እንደአስፈላጊነቱ ይወስናል ብለዋል።የተሰማሩት ተጨማሪ ወታደሮች የት አካባቢ እንደሚመደቡ ይፋ የተደረገ ነገር የለም።ሰኞ እለት የተጨመሩት ወታደሮች ባለፈው ወር መጨረሻ ላይ ፕሬዝዳንት ትራምፕ ካሰማሯቸው 1500 ወታደሮች በተጨማሪ መሆኑ ነው።የውጭ ጉዳይ ሚኒስትሩ ማይክ ፖምፒዮ እሁድ እለት አሜሪካ ከኢራን ጋር ጦርነት መግጠም ባትፈልግም ""ያሉትን አማራጮች በአጠቃላይ ግን ታያለች"" ብለው ነበር።አክለውም ማክሰኞ እለት የመካከለኛው ምስራቅ ጦር አዛዦችን የሆኑትን እንደሚያገኙ ገልፀዋል።በ2015 ኢራን የኒውክለር ማበልፀግ ፕሮግራሟን ለመቀነስ ከአሜሪካና አውሮጳ ሀገራት ጋር ስምምነት ላይ ደርሳ ነበር።ነገር ግን ባለፈው አመት ፕሬዝዳንት ትራምፕ አሜሪካ የገባችውን ስምምነት ሰርዘው ዳግመኛ ኢራን ላይ ማዕቀብ ጥለዋል።ይህ ውሳኔያቸው የኢራንን ምጣኔ ሐብት ያሽመደመደው ሲሆን ኢራን በምላሹ የገባችውን ስምምነት በመተላለፍ የዩራኒየም ማበልፀግ ፕሮግራሟን ከፍ አድርጋዋለች።የአቶሚክ ኢነርጂ ባለስልጣኑ ይህንን በተናገሩበት መግለጫቸው አሁንም የአውሮጳ ሀገራት የአሜሪካን ማዕቀብ ማስቀረትና ኢራንን መታደግ ይችላሉ ሲሉ ጥሪያቸውን አቅርበዋል።እንግሊዝ፣ ፈረንሳይና ጀርመን ኢራንን በ2015 የገባችውን ስምምነት እንዳትጥስ ያስጠነቀቁ ሲሆን አሜሪካ ግን ኢራንን ""ኒውክለርን ተጠቅማ ማስፈራሪያ የምታደርግ ሀገር"" ብላታለች።
",https://www.bbc.com/amharic/48672476
